rank,star,title
No.25,9.0,怦然心动 Flipped
No.21,9.1,无间道 無間道
No.24,9.2,乱世佳人 Gone with the Wind
No.22,9.2,触不可及 Intouchables
No.20,9.2,熔炉 도가니
No.1,9.6,肖申克的救赎 The Shawshank Redemption
No.23,9.0,当幸福来敲门 The Pursuit of Happyness
No.19,9.2,星际穿越 Interstellar
No.18,9.1,龙猫 となりのトトロ
No.16,9.2,楚门的世界 The Truman Show
No.15,9.2,大话西游之大圣娶亲 西遊記大結局之仙履奇緣
No.13,9.2,海上钢琴师 La leggenda del pianista sull'oceano
No.14,9.2,放牛班的春天 Les choristes
No.26,9.1,疯狂动物城 Zootopia
No.12,9.2,三傻大闹宝莱坞 3 Idiots
No.17,9.2,教父 The Godfather
No.100,8.7,射雕英雄传之东成西就 射鵰英雄傳之東成西就
No.98,8.9,一一
No.99,8.8,甜蜜蜜
No.97,8.7,告白
No.94,8.9,穿条纹睡衣的男孩 The Boy in the Striped Pajamas
No.96,8.6,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl
No.92,8.7,致命ID Identity
No.93,8.7,断背山 Brokeback Mountain
No.90,8.7,重庆森林 重慶森林
No.91,9.1,狩猎 Jagten
No.95,8.7,大鱼 Big Fish
No.88,8.8,猫鼠游戏 Catch Me If You Can
No.86,8.7,禁闭岛 Shutter Island
No.87,8.8,幽灵公主 もののけ姫
No.83,8.9,玛丽和马克思 Mary and Max
No.84,8.8,阳光灿烂的日子
No.85,8.8,布达佩斯大饭店 The Grand Budapest Hotel
No.89,8.8,第六感 The Sixth Sense
No.82,8.8,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone
No.81,8.8,心灵捕手 Good Will Hunting
No.80,8.8,春光乍泄 春光乍洩
No.77,9.3,大闹天宫
No.76,8.8,沉默的羔羊 The Silence of the Lambs
No.78,8.7,蝴蝶效应 The Butterfly Effect
No.79,8.8,入殓师 おくりびと
No.74,8.7,剪刀手爱德华 Edward Scissorhands
No.73,8.8,勇敢的心 Braveheart
No.72,8.8,低俗小说 Pulp Fiction
No.75,9.0,末代皇帝 The Last Emperor
No.71,8.7,看不见的客人 Contratiempo
No.70,8.9,拯救大兵瑞恩 Saving Private Ryan
No.69,8.7,让子弹飞
No.67,8.9,黑客帝国 The Matrix
No.66,8.8,西西里的美丽传说 Malèna
No.65,8.8,本杰明·巴顿奇事 The Curious Case of Benjamin Button
No.64,8.7,天使爱美丽 Le fabuleux destin d'Amélie Poulain
No.63,8.8,致命魔术 The Prestige
No.62,8.9,被嫌弃的松子的一生 嫌われ松子の一生
No.60,9.2,小鞋子 بچههای آسمان
No.61,8.8,七宗罪 Se7en
No.57,8.9,狮子王 The Lion King
No.59,9.1,钢琴家 The Pianist
No.58,9.1,美国往事 Once Upon a Time in America
No.56,9.1,素媛 소원
No.55,8.8,情书 Love Letter
No.68,8.9,音乐之声 The Sound of Music
No.54,9.1,饮食男女 飲食男女
No.53,8.9,美丽心灵 A Beautiful Mind
No.51,9.0,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers
No.52,8.9,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring
No.48,8.8,V字仇杀队 V for Vendetta
No.50,9.1,教父2 The Godfather: Part Ⅱ
No.49,9.3,海豚湾 The Cove
No.47,9.0,死亡诗社 Dead Poets Society
No.46,8.9,哈尔的移动城堡 ハウルの動く城
No.45,9.2,辩护人 변호인
No.42,9.1,摔跤吧！爸爸 Dangal
No.40,9.1,窃听风暴 Das Leben der Anderen
No.44,9.0,闻香识女人 Scent of a Woman
No.39,8.9,罗马假日 Roman Holiday
No.43,9.0,飞越疯人院 One Flew Over the Cuckoo's Nest
No.41,9.1,"两杆大烟枪 Lock, Stock and Two Smoking Barrels"
No.37,8.9,飞屋环游记 Up
No.38,8.9,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒
No.36,9.6,控方证人 Witness for the Prosecution
No.35,9.0,天空之城 天空の城ラピュタ
No.34,9.0,搏击俱乐部 Fight Club
No.31,9.2,鬼子来了
No.30,9.1,活着
No.32,9.0,少年派的奇幻漂流 Life of Pi
No.33,9.1,指环王3：王者无敌 The Lord of the Rings: The Return of the King
No.29,9.4,十二怒汉 12 Angry Men
No.27,9.1,天堂电影院 Nuovo Cinema Paradiso
No.28,9.1,蝙蝠侠：黑暗骑士 The Dark Knight
No.11,9.3,忠犬八公的故事 Hachi: A Dog's Tale
No.10,9.3,机器人总动员 WALL·E
No.7,9.3,千与千寻 千と千尋の神隠し
No.8,9.4,辛德勒的名单 Schindler's List
No.6,9.3,泰坦尼克号 Titanic
No.5,9.5,美丽人生 La vita è bella
No.4,9.4,阿甘正传 Forrest Gump
No.9,9.3,盗梦空间 Inception
No.3,9.4,这个杀手不太冷 Léon
No.2,9.6,霸王别姬
